id,Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Umsatz_MA7,Umsatz_PctChange,Umsatz_Lag1,Wochentag
1307011,2013-07-01,1,148.828353112183,,6.0,17.8375,15.0,20.0,,,,Monday
1307021,2013-07-02,1,159.79375714468,,3.0,17.3125,10.0,,,0.07367819238200912,148.828353112183,Tuesday
1307031,2013-07-03,1,111.885593514353,,7.0,21.075,6.0,61.0,,-0.29981248633480795,159.79375714468,Wednesday
1307041,2013-07-04,1,168.864940979931,,7.0,18.85,7.0,20.0,,0.5092643804786943,111.885593514353,Thursday
1307051,2013-07-05,1,171.280754117955,,5.0,19.975,12.0,,,0.014306185310017261,168.864940979931,Friday
1307061,2013-07-06,1,174.552359998476,,0.0,18.9625,8.0,,,0.01910083767069315,171.280754117955,Saturday
1307071,2013-07-07,1,92.6377553788373,,0.0,21.375,9.0,,146.8347877494879,-0.46928385626154745,174.552359998476,Sunday
1307081,2013-07-08,1,135.500244042392,,0.0,22.725,10.0,5.0,144.9307721680892,0.4626891971666498,92.6377553788373,Monday
1307091,2013-07-09,1,136.048382778344,,0.0,23.275,8.0,,141.5385758300412,0.00404529703858314,135.500244042392,Tuesday
1307101,2013-07-10,1,135.132314289581,,2.0,19.6875,13.0,5.0,144.85953594078802,-0.006733402265100885,136.048382778344,Wednesday
1307111,2013-07-11,1,138.549392636714,,0.0,21.375,12.0,5.0,140.5287433203285,0.025286907614195053,135.132314289581,Thursday
1307121,2013-07-12,1,101.447511461298,,0.0,20.2875,7.0,,130.55256579794892,-0.26778811851380446,138.549392636714,Friday
1307131,2013-07-13,1,141.233309883732,,1.0,20.125,12.0,,125.79270149584262,0.3921811175980614,101.447511461298,Saturday
1307141,2013-07-14,1,112.524365708762,,5.0,17.6875,15.0,5.0,128.633645828689,-0.20327318108316061,141.233309883732,Sunday
1307151,2013-07-15,1,161.264677322182,,6.0,18.7375,12.0,,132.31427915437328,0.43315340021174364,112.524365708762,Monday
1307161,2013-07-16,1,116.821358174215,,1.0,21.1875,10.0,,129.56756135378342,-0.2755923980747258,161.264677322182,Tuesday
1307171,2013-07-17,1,150.572919592838,,5.0,22.5125,8.0,,131.77336211139158,0.2889160162672435,116.821358174215,Wednesday
1307181,2013-07-18,1,101.90072129658,,1.0,23.25,11.0,5.0,126.53783763422958,-0.3232466928838982,150.572919592838,Thursday
1307191,2013-07-19,1,161.63511518654,,3.0,22.475,16.0,5.0,135.1360667378356,0.5862018750201408,101.90072129658,Friday
1307201,2013-07-20,1,134.328076682024,,0.0,23.1875,8.0,,134.14960485187729,-0.16894248797980227,161.63511518654,Saturday
1307211,2013-07-21,1,66.2887578161955,,0.0,26.375,8.0,,127.54451801008206,-0.5065159908965899,134.328076682024,Sunday
1307221,2013-07-22,1,131.223948997842,,0.0,26.1,9.0,,123.25298539231922,0.9795807512594799,66.2887578161955,Monday
1307231,2013-07-23,1,110.315246796665,,0.0,24.95,12.0,,122.32354090981207,-0.15933602334678143,131.223948997842,Tuesday
1307241,2013-07-24,1,141.891908195545,,3.0,24.075,11.0,,121.08339642448449,0.286240228035592,110.315246796665,Wednesday
1307251,2013-07-25,1,167.701216640907,,2.0,23.0875,9.0,,130.48346718795977,0.1818941529054181,141.891908195545,Thursday
1307261,2013-07-26,1,147.272084366206,,3.0,27.2625,6.0,,128.43160564219778,-0.1218186288919133,167.701216640907,Friday
1307271,2013-07-27,1,161.403357795112,,1.0,26.1625,10.0,,132.29950294406748,0.09595351006078823,147.272084366206,Saturday
1307281,2013-07-28,1,86.0791432446654,,4.0,24.8875,13.0,61.0,135.12670086242034,-0.46668307016304056,161.403357795112,Sunday
1307291,2013-07-29,1,183.564164400591,,1.0,22.7875,10.0,,142.6038744913845,1.132504547342449,86.0791432446654,Monday
1307301,2013-07-30,1,132.111640117897,,5.0,21.075,13.0,21.0,145.7176449658462,-0.28029721623883774,183.564164400591,Tuesday
1307311,2013-07-31,1,144.745431773143,,5.0,20.275,16.0,65.0,146.12529119121734,0.09562966324520339,132.111640117897,Wednesday
1308011,2013-08-01,1,157.854023011106,,6.0,23.4,7.0,21.0,144.71854924410292,0.09056307392490193,144.745431773143,Thursday
1308021,2013-08-02,1,117.359342094889,,0.0,31.4375,7.0,,140.44530034820048,-0.2565324604579,157.854023011106,Friday
1308031,2013-08-03,1,186.027178770079,,4.0,23.3625,11.0,63.0,143.96298905891007,0.5851075461863933,117.359342094889,Saturday
1308041,2013-08-04,1,104.708216687715,,3.0,23.05,8.0,,146.62428526506,-0.4371348456715053,186.027178770079,Sunday
1308051,2013-08-05,1,146.775309890073,,0.0,25.8,10.0,,141.36873462070028,0.40175541646192103,104.708216687715,Monday
1308061,2013-08-06,1,131.956277381283,,5.0,22.225,13.0,,141.34653994404113,-0.10096406895607091,146.775309890073,Tuesday
1308071,2013-08-07,1,160.593417296116,,4.0,19.2125,8.0,,143.61053787589444,0.21701991358915795,131.956277381283,Wednesday
1308081,2013-08-08,1,153.099424561652,,7.0,16.975,12.0,20.0,142.9313095259724,-0.04666438301543785,160.593417296116,Thursday
1308091,2013-08-09,1,125.620344387906,,4.0,20.3375,10.0,21.0,144.11145271068915,-0.17948519566564658,153.099424561652,Friday
1308101,2013-08-10,1,185.177162656408,,7.0,19.3625,12.0,61.0,143.99002183730758,0.47410169553902115,125.620344387906,Saturday
1308111,2013-08-11,1,73.2088330039992,,7.0,16.3875,9.0,61.0,139.49010988249103,-0.6046551747861235,185.177162656408,Sunday
