id,Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Umsatz_MA7,Umsatz_PctChange,Umsatz_Lag1,Wochentag,month,dayofweek,is_weekend
1307011,2013-07-01,1,148.828353112183,,6.0,17.8375,15.0,20.0,,,,Monday,7,0,0
1307013,2013-07-01,3,201.198425690037,,6.0,17.8375,15.0,20.0,,0.35188236302244613,148.828353112183,Monday,7,0,0
1307014,2013-07-01,4,65.890168799361,,6.0,17.8375,15.0,20.0,,-0.6725115091065855,201.198425690037,Monday,7,0,0
1307015,2013-07-01,5,317.475874933038,,6.0,17.8375,15.0,20.0,,3.8182586373358456,65.890168799361,Monday,7,0,0
1307012,2013-07-01,2,535.856284785361,,6.0,17.8375,15.0,20.0,,0.687864581516261,317.475874933038,Monday,7,0,0
1307024,2013-07-02,4,74.5439171827412,,3.0,17.3125,10.0,,,-0.860888228244631,535.856284785361,Tuesday,7,1,0
1307023,2013-07-02,3,265.261253994438,,3.0,17.3125,10.0,,229.86489692816562,2.558456062137994,74.5439171827412,Tuesday,7,1,0
1307021,2013-07-02,1,159.79375714468,,3.0,17.3125,10.0,,231.4313832185223,-0.39759857597585446,265.261253994438,Tuesday,7,1,0
1307025,2013-07-02,5,383.628681612577,,3.0,17.3125,10.0,,257.49284835031375,1.4007739004799356,159.79375714468,Tuesday,7,1,0
1307022,2013-07-02,2,546.780787392297,,3.0,17.3125,10.0,,326.19150814930464,0.4252865168837554,383.628681612577,Tuesday,7,1,0
1307035,2013-07-03,5,305.523072325318,,7.0,21.075,6.0,61.0,324.4839649196304,-0.4412329778768994,546.780787392297,Wednesday,7,2,0
1307033,2013-07-03,3,210.260241465493,,7.0,21.075,6.0,61.0,277.97024444536345,-0.3118024119579096,305.523072325318,Wednesday,7,2,0
1307031,2013-07-03,1,111.885593514353,,7.0,21.075,6.0,61.0,283.30476963559374,-0.46787089782394653,210.260241465493,Wednesday,7,2,0
1307034,2013-07-03,4,69.2627280649987,,7.0,21.075,6.0,61.0,255.30498021710238,-0.38095043437282683,111.885593514353,Wednesday,7,2,0
1307032,2013-07-03,2,427.343258749983,,7.0,21.075,6.0,61.0,293.5263375892886,5.1698877692046485,69.2627280649987,Wednesday,7,2,0
1307045,2013-07-04,5,308.408167942149,,7.0,18.85,7.0,20.0,282.78054992208456,-0.2783127810550462,427.343258749983,Thursday,7,3,0
1307042,2013-07-04,2,454.859641347987,,7.0,18.85,7.0,20.0,269.64895763004023,0.47486249921016754,308.408167942149,Thursday,7,3,0
1307044,2013-07-04,4,61.490175369225,,7.0,18.85,7.0,20.0,234.78711520774124,-0.864815055503721,454.859641347987,Thursday,7,3,0
1307043,2013-07-04,3,190.686641378586,,7.0,18.85,7.0,20.0,231.9908866238974,2.1010911943832586,61.490175369225,Thursday,7,3,0
1307041,2013-07-04,1,168.864940979931,,7.0,18.85,7.0,20.0,240.13079340469423,-0.114437488860746,190.686641378586,Thursday,7,3,0
1307055,2013-07-05,5,355.518770367742,,5.0,19.975,12.0,,281.02451373365756,1.1053438819487944,168.864940979931,Friday,7,4,0
1307053,2013-07-05,3,181.644870215041,,5.0,19.975,12.0,,245.92474394295158,-0.4890709426476949,355.518770367742,Friday,7,4,0
1307054,2013-07-05,4,86.7598614451924,,5.0,19.975,12.0,,214.26070015767206,-0.5223654742218627,181.644870215041,Friday,7,4,0
1307051,2013-07-05,1,171.280754117955,,5.0,19.975,12.0,,173.74943055338176,0.9741934952968525,86.7598614451924,Friday,7,4,0
1307052,2013-07-05,2,492.818804066088,,5.0,19.975,12.0,,235.36780608150505,1.8772573229488532,171.280754117955,Friday,7,4,0
1307061,2013-07-06,1,174.552359998476,,0.0,18.9625,8.0,,233.06290874148934,-0.6458082391371816,492.818804066088,Saturday,7,5,1
1307062,2013-07-06,2,631.906068038484,,0.0,18.9625,8.0,,299.21164117842545,2.6201519592402027,174.552359998476,Saturday,7,5,1
1307064,2013-07-06,4,80.6465768881107,,0.0,18.9625,8.0,,259.9441849670496,-0.8723756884651419,631.906068038484,Saturday,7,5,1
1307063,2013-07-06,3,291.557959835153,,0.0,18.9625,8.0,,275.6460549127799,2.6152552418890807,80.6465768881107,Saturday,7,5,1
1307065,2013-07-06,5,361.866932797941,,0.0,18.9625,8.0,,314.94706510602964,0.24114921438790682,291.557959835153,Saturday,7,5,1
1307074,2013-07-07,4,94.6039024817053,,0.0,21.375,9.0,,303.993229157994,-0.7385671529856801,361.866932797941,Sunday,7,6,1
1307073,2013-07-07,3,279.665938833443,,0.0,21.375,9.0,,273.5428198390447,1.9561776152683068,94.6039024817053,Sunday,7,6,1
1307071,2013-07-07,1,92.6377553788373,,0.0,21.375,9.0,,261.84073346481057,-0.6687556741258779,279.665938833443,Sunday,7,6,1
1307072,2013-07-07,2,695.25572963054,,0.0,21.375,9.0,,270.8906851208186,6.505101206169426,92.6377553788373,Sunday,7,6,1
1307075,2013-07-07,5,370.20960108863,,0.0,21.375,9.0,,312.25683143517847,-0.46752024426269745,695.25572963054,Sunday,7,6,1
1307084,2013-07-08,4,49.5000238633042,,0.0,22.725,10.0,5.0,277.67712629634303,-0.8662918959482803,370.20960108863,Monday,7,0,0
1307083,2013-07-08,3,195.158794309303,,0.0,22.725,10.0,5.0,253.86167794082326,2.9426000045624194,49.5000238633042,Monday,7,0,0
1307085,2013-07-08,5,285.233382496522,,0.0,22.725,10.0,5.0,281.0944608000828,0.4615451151253871,195.158794309303,Monday,7,0,0
